Variável1,Variável2,Teste,df,Correlação,p_value,Significância,CI_lower,CI_upper
DNA_corrigido15x,Idade,Pearson's product-moment correlation,14,0.18686028875585797,0.4883393766023191,-,-0.34037298803263305,0.6247010353058765
DNA_corrigido15x,Dias_internacao,Spearman's rank correlation rho,NA,0.27016918028914777,0.31153993778886946,-,NA,NA
DNA_corrigido15x,IMC_absoluto,Pearson's product-moment correlation,14,-0.0028064699228768477,0.9917698277146547,-,-0.4978192425277963,0.4935855272503828
DNA_corrigido15x,VEF1percprevist,Spearman's rank correlation rho,NA,-0.4562179307215767,0.0757025731007721,-,NA,NA
DNA_corrigido15x,VO2mLkgminfinal,Pearson's product-moment correlation,14,-0.18919925646363378,0.48281245379429105,-,-0.6261772505075506,0.33822743699308894
DNA_corrigido15x,ReservaVentilatoria,Spearman's rank correlation rho,NA,0.20176730486008837,0.4536399831662782,-,NA,NA
Idade,Dias_internacao,Spearman's rank correlation rho,NA,0.21142264422255014,0.4318453303615153,-,NA,NA
Idade,IMC_absoluto,Pearson's product-moment correlation,14,0.2460133424051699,0.35837966960461043,-,-0.2843710756512131,0.6610977223284551
Idade,VEF1percprevist,Spearman's rank correlation rho,NA,-0.3529411764705882,0.1802121972805672,-,NA,NA
Idade,VO2mLkgminfinal,Pearson's product-moment correlation,14,-0.0062883805720145404,0.9815600454509783,-,-0.5004337663832755,0.4909473222742397
Idade,ReservaVentilatoria,Spearman's rank correlation rho,NA,0.13245036698368354,0.6248494815021566,-,NA,NA
Dias_internacao,IMC_absoluto,Spearman's rank correlation rho,NA,-0.01626328032481155,0.9523312441552643,-,NA,NA
Dias_internacao,VEF1percprevist,Spearman's rank correlation rho,NA,-0.6114993402129143,0.011835195375794184,*,NA,NA
Dias_internacao,VO2mLkgminfinal,Spearman's rank correlation rho,NA,-0.5761439145925199,0.01950016037399741,*,NA,NA
Dias_internacao,ReservaVentilatoria,Spearman's rank correlation rho,NA,-0.47198230291477616,0.06491363560301656,-,NA,NA
IMC_absoluto,VEF1percprevist,Spearman's rank correlation rho,NA,-0.1323529411764706,0.6248211979292546,-,NA,NA
IMC_absoluto,VO2mLkgminfinal,Pearson's product-moment correlation,14,0.18164750707083424,0.50076504992463855,-,-0.34513503686791835,0.6213997436904665
IMC_absoluto,ReservaVentilatoria,Spearman's rank correlation rho,NA,0.02060339041968411,0.9396294086034469,-,NA,NA
VEF1percprevist,VO2mLkgminfinal,Spearman's rank correlation rho,NA,0.24429734354768298,0.3618491054055738,-,NA,NA
VEF1percprevist,ReservaVentilatoria,Spearman's rank correlation rho,NA,0.29874916108541955,0.26102468237833815,-,NA,NA
VO2mLkgminfinal,ReservaVentilatoria,Spearman's rank correlation rho,NA,0.025773195876288662,0.9245173958676993,-,NA,NA
